"Activity Date","Distance in Miles","Activity Type",Comment
2021-05-17,10.01,Run,
2021-05-18,5.53,Run,Sumner
2021-05-19,10.03,Run,"Tenino Wa"
2021-05-20,5.12,Run,"Roy WA"
2021-05-24,6.68,Run,"CVP  zone 2"
2021-05-24,1.3,Run,"To and from the pool for my swim."
2021-05-25,11.15,Run,"Red top mountain"
2021-05-26,6.71,Run,Cvp
2021-05-27,4.07,Run,"Active recovery day"
2021-05-28,19.23,Run,Kennesaw
2021-05-31,11.84,Run,"KenMo lower +pigeon"
2021-06-01,6.61,Run,"KenMo upper with Nick"
2021-06-02,6.01,Run,"Pine + 2 servings of cornbread"
2021-06-03,5.36,Run,"CVP active recovery"
2021-06-04,11.51,Run,"Sawnee mtn ass kicking"
2021-06-05,8.73,Run,"Red top mountain"
2021-06-07,6.52,Run,"Harmony at the lakes"
2021-06-08,3.05,Run,Neighborhood
2021-06-08,6.68,Run,KenMo
2021-06-09,5.09,Run,"Cornbread speedwork...ouch"
2021-06-10,5.44,Run,"CVP recovery day"
2021-06-11,16.75,Run,"3 varying loops and directions around Sawnee mtn."
2021-06-13,2.27,Walk,"Hiking with my son"
2021-06-15,12.45,Run,"KenMo repeats"
2021-06-14,6.53,Run,Pine
2021-06-17,6.91,Run,"Sawnee Mountain figure 8 (clockwise) - Church Ascent"
2021-06-18,19.45,Run,Kenmo
2021-06-19,4.6,Run,
