"Activity Date","Distance in Miles","Activity Type",Comment
2020-12-01,8.01,Run,Treadmill
2020-12-02,6.01,Run,Treadmill
2020-12-03,4.01,Run,Treadmill
2020-12-04,2.01,Run,Treadmill
2020-12-06,46,Run,"Pine Mountain 46 Miler"
2020-12-07,3.19,Run,"Recovery 5k"
2020-12-08,3,Run,"Recovery treadmill"
2020-12-10,1.84,Run,"Brisk hike while doing a work call"
2020-12-11,3.29,Walk,
2020-12-14,7.11,Run,"Combined runs for the day"
2020-12-15,7.71,Run,"Treadmill/trail run"
2020-12-16,3.11,Treadmill,
2020-12-17,6.84,Run,"Pine mountain east and west"
2020-12-18,8.01,Run,"Cherokee Veterans Park Loops"
2020-12-19,12.55,Run,KenMo
2020-12-21,5.01,Run,
2020-12-22,11.45,Run,"Lower KenMo"
2020-12-27,21.05,Run,"Woody's Gap to Neal's Gap"
2020-12-29,10.01,Run,Treadmill
2020-12-30,4,Run,Run
2020-12-30,2.07,Run,Treadmill
2020-12-30,3.12,Run,Treadmill
2020-12-30,9,Run,Treadmill
2020-12-28,3.01,Run,Treadmill
2020-12-31,6,Run,"24 Hours of Cornbread ( more miles to be added)"
2020-12-31,2.88,Run,"24 Hours of Cornbread

(remaining 1.12 to be logged in Region 5)"
