"Activity Date","Distance in Miles","Activity Type",Comment
2020-12-31,1.12,Run,"24 Hours of Cornbread
(Balance of 10 miles after reaching 200 goal in Region 4)"
2021-01-01,21,Run,"Cornbread 50k"
2021-01-04,4.01,Run,Treadmill
2021-01-04,3.18,Run,"Neighborhood jog"
2021-01-05,5.01,Run,"Treadmill warmup"
2021-01-05,5.01,Run,"Treadmill while fasting"
2021-01-06,11,Run,Treadmill
2021-01-07,8.29,Run,"90+ hours fasted so far. Treadmill."
2021-01-08,10.01,Run,"Run walk on treadmill. 110 hour fast completed"
2021-01-09,2,Run,"Pine mountain"
2021-01-09,10.01,Run,"Treadmill walk run"
2021-01-10,10.01,Run,
2021-01-10,6,Run,"Treadmill walk run"
2021-01-12,8.44,Run,"Pine mountain and Cornbread KOH attempt (failed, but got a PR despite a chest cold)"
2021-01-13,5,Run,"Slow, treadmill. Keeping joints lubed.  IT band is tender, and a chest cold."
2021-01-13,3.08,Treadmill,"Slow treadmill"
2021-01-14,5.06,Treadmill,"Slow active recovery treadmill"
2021-01-15,4.19,Treadmill,"Active recovery"
2021-01-15,3,Treadmill,Treadmill
2021-01-16,7.8,Treadmill,"Treadmill revovery"
2021-01-17,10.8,Treadmill,"Active boring recovery."
2021-01-18,7.4,Run,"Neighborhood run. Slow"
2021-01-19,7.14,Run,"Strolling around the community."
2021-01-20,7.56,Run,"More neighborhood strollin"
2021-01-23,31.82,Run,
2021-01-26,1.35,Walk,
