"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-03,4.06,Run,
2020-10-04,8.16,Run,
2020-10-05,1.08,Treadmill,"Treadmill warmup"
2020-10-05,5.01,Treadmill,"Light Treadmill jog"
2020-10-05,4.05,Run,"Neighborhood run"
2020-10-06,1,Run,"Treadmill Warmup"
2020-10-06,11.44,Run,"Red Top Mountain"
2020-10-07,6.22,Run,Treadmill
2020-10-07,4.02,Run,"Neighborhood jog"
2020-10-08,1,Run,"Treadmill warm up"
2020-10-08,4,Run,"Active Recovery - treadmill"
2020-10-09,11.46,Run,"Kennesaw Lower from Burnt Hickory, and pigeon hill."
2020-10-10,4.16,Run,"Active recovery run"
2020-10-11,18.14,Run,"Rogue mystery mountain marathon attempt. Cut short by weather"
2020-10-12,4,Run,Treadmill
2020-10-12,4.95,Run,"Afternoon treadmill"
2020-10-13,5.34,Run,"Laps at CVP"
2020-10-14,26.33,Run,"Treadmill marathon."
2020-10-15,1,Run,Warmup
2020-10-15,3.11,Run,"More boring treadmill"
2020-10-15,6.22,Run,"More treadmill"
2020-10-16,27.96,Run,Treadmill
2020-10-17,11.19,Run,"Cornbread repeats (elevation gain training)"
2020-10-18,2,Run,"Hike with family"
2020-10-19,13.43,Run,"Warmup, and run - treadmill"
2020-10-20,20,Run,Treadmill
2020-10-21,17.21,Run,"More treadmill"
2020-10-22,12.42,Run,Treadmill
2020-10-23,31.08,Run,
2020-10-24,3.12,Run,Treadmill
2020-10-25,3.74,Run,"Final treadmill for my 100 mile week"
2020-10-26,4.15,Run,"Light recovery jog"
2020-10-27,5.19,Run,"Red top mountain"
2020-10-29,4.01,Run,"Neighborhood run"
2020-10-30,15.64,Run,KenMo
