"Activity Date","Distance in Miles","Activity Type",Comment
2021-06-19,7.38,Run,
2021-06-19,7.1,Walk,
2021-06-20,4,Walk,
2021-06-21,5.5,Run,
2021-06-21,4.5,Walk,
2021-06-22,6,Walk,
2021-06-23,8,Walk,
2021-06-25,3.52,Run,
2021-06-24,6.5,Walk,
2021-06-25,3.2,Walk,
2021-06-26,6.01,Run,
2021-06-26,7.8,Walk,
2021-06-27,5.1,Walk,
2021-06-28,8.01,Run,
2021-06-28,5.6,Walk,
2021-06-29,5.1,Run,
2021-06-29,5.9,Walk,
2021-06-30,4.8,Walk,
2021-07-01,8.9,Walk,
2021-07-02,5.9,Walk,
2021-07-03,7.75,Run,
2021-07-03,5.2,Walk,
2021-07-04,8.22,Run,
2021-07-04,7.5,Walk,
2021-07-05,6.21,Run,
2021-07-05,4.5,Walk,
2021-07-06,9.2,Run,
2021-07-06,5.9,Walk,
2021-07-07,6.5,Walk,
2021-07-08,4.2,Run,
2021-07-08,4,Walk,
2021-07-09,7.2,Run,
2021-07-09,6,Walk,
2021-07-10,2.9,Run,
2021-07-10,7.1,Walk,
2021-07-11,6.1,Walk,
2021-07-12,8.7,Run,
2021-07-12,4,Walk,
2021-07-13,10.15,Run,
2021-07-13,4.5,Walk,
2021-07-14,6.42,Run,
2021-07-14,3.5,Walk,
2021-07-15,4.2,Walk,
2021-07-16,7.4,Walk,
2021-07-17,6.5,Run,
2021-07-17,6.7,Walk,
2021-07-18,11.01,Run,
2021-07-18,5.3,Walk,
2021-07-19,7.05,Run,
2021-07-19,5.5,Walk,
2021-07-20,11.9,Run,
2021-07-20,4.9,Walk,
2021-07-22,8.1,Run,
2021-07-22,6.9,Walk,
2021-07-23,8.03,Run,
2021-07-23,2,Walk,
2021-07-24,11.55,Run,
2021-07-24,3.8,Walk,
2021-07-25,7.04,Run,
2021-07-25,3.7,Walk,
2021-07-27,3.13,Walk,WU
2021-07-27,3.49,Run,
2021-07-27,4.01,Run,
2021-07-26,3.7,Walk,
2021-07-27,10.01,Run,
2021-07-28,7.01,Walk,
2021-07-28,3.4,Walk,
2021-07-29,7.32,Run,
2021-07-29,3.9,Walk,
