"Activity Date","Distance in Miles","Activity Type",Comment
2020-09-01,13.24,Run,
2020-09-02,10.1,Run,
2020-09-03,7.1,Run,
2020-09-04,11.31,Run,
2020-09-05,10.41,Run,
2020-09-07,8.01,Run,
2020-09-08,7.4,Run,
2020-09-09,7.36,Run,
2020-09-12,26.27,Run,
2020-09-13,26.22,Run,
2020-09-16,13.21,Run,
2020-09-17,14.04,Run,
2020-09-18,10.27,Run,
2020-09-19,8.1,Run,
2020-09-20,10.03,Run,
2020-09-21,20.39,Run,
2020-09-22,22.54,Run,
2020-09-23,24.18,Run,
2020-09-24,28.12,Run,
2020-09-25,10.02,Run,
2020-09-26,23.17,Run,
2020-09-27,13.14,Run,
2020-09-28,10.27,Walk,
2020-09-29,14.44,Run,
2020-09-30,12.11,Run,
2020-10-01,10.46,Run,
2020-10-02,0,Run,
2020-10-03,10.05,Run,
