"Activity Date","Distance in Miles","Activity Type",Comment
2020-12-01,10.12,Treadmill,Run
2020-12-02,2.02,Treadmill,"2020 B.A.A. Virtual 5K WU"
2020-12-02,3.11,Treadmill,"2020 B.A.A Virtual 5k"
2020-12-02,5.11,Run,
2020-12-03,11.21,Run,
2020-12-06,15.11,Run,
2020-12-07,10.11,Run,
2020-12-08,10.34,Run,
2020-12-09,10.11,Run,
2020-12-11,20.21,Run,
2020-12-14,2.01,Run,WU
2020-12-14,13.11,Run,"2020 B.A.A #FinishStrongChallenge virtual"
2020-12-14,2.01,Run,CD
2020-12-15,10.1,Run,
2020-12-16,14.1,Run,
2020-12-17,10.26,Run,
2020-12-18,10.2,Run,
2020-12-21,3.12,Run,
2020-12-22,10.02,Run,
2020-12-27,7.03,Run,
2020-12-28,8.02,Run,
2020-12-29,7.01,Treadmill,
2020-12-30,10.2,Run,
