"Activity Date","Distance in Miles","Activity Type",Comment
2021-04-13,12.1,Walk,
2021-04-14,5.7,Walk,
2021-04-15,4.3,Walk,
2021-04-16,7.5,Walk,
2021-04-17,3.9,Walk,
2021-04-18,5.8,Walk,
2021-04-19,8.1,Walk,
2021-04-20,4.4,Walk,
2021-04-21,5.8,Walk,
2021-04-22,6.2,Walk,
2021-04-23,4.1,Walk,
2021-04-24,9.1,Walk,
2021-04-25,5.9,Walk,
2021-04-26,10.3,Walk,
2021-04-27,7.9,Walk,
2021-04-28,5.1,Walk,
2021-04-29,3.2,Walk,
2021-04-30,11.6,Walk,
2021-05-01,3.8,Walk,
2021-05-02,2.9,Walk,
2021-05-03,4.3,Walk,
2021-05-04,3.5,Walk,
2021-05-04,6.01,Treadmill,
2021-05-05,3.8,Walk,
2021-05-06,2.9,Walk,
2021-05-07,14.1,Walk,
2021-05-08,13.3,Walk,
2021-05-09,11.7,Walk,
2021-05-10,5.75,Walk,
2021-05-10,2.2,Walk,
2021-05-11,9.7,Walk,
2021-05-12,3.7,Walk,
2021-05-13,5.7,Walk,
2021-05-14,2.8,Walk,
2021-05-15,33.08,Run,
