"Activity Date","Distance in Miles","Activity Type",Comment
2021-01-01,11.02,Run,
2021-01-02,10.05,Run,
2021-01-03,10.1,Run,
2021-01-04,10.04,Run,
2021-01-05,10.02,Run,
2021-01-07,13.12,Run,
2021-01-08,7.02,Run,
2021-01-09,10.25,Run,
2021-01-10,7.1,Run,
2021-01-12,10.03,Run,
2021-01-13,8.02,Run,
2021-01-14,7.01,Run,
2021-01-15,10.05,Run,
2021-01-16,13.13,Run,
2021-01-17,10.1,Run,
2021-01-18,11.1,Treadmill,
2021-01-19,10.03,Treadmill,
2021-01-20,10.01,Treadmill,
2021-01-21,8.01,Treadmill,
2021-01-22,3.11,Run,"Test run"
2021-01-23,31.25,Run,
