"Activity Date","Distance in Miles","Activity Type",Comment
2020-11-02,10.1,Run,
2020-11-03,10.1,Run,
2020-11-04,10.12,Run,
2020-11-05,10.1,Run,
2020-11-07,15.35,Run,
2020-11-08,11.12,Run,
2020-11-10,10.05,Run,
2020-11-11,10.4,Run,
2020-11-12,10.35,Run,
2020-11-13,10.3,Run,
2020-11-14,10.1,Run,
2020-11-15,10.1,Run,
2020-11-16,10.1,Run,
2020-11-17,10.1,Run,
2020-11-19,6.2,Run,
2020-11-20,5.1,Run,
2020-11-21,11.02,Run,
2020-11-22,16.13,Run,
2020-11-23,10.3,Run,
2020-11-24,10.2,Run,
2020-11-25,16.2,Run,
2020-11-26,11.28,Run,
2020-11-27,10.1,Run,
2020-11-29,6.22,Run,
2020-11-30,10.1,Run,
