"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-31,13.81,Run,
2020-11-02,5.34,Run,
2020-11-03,6,Run,
2020-11-04,5.05,Run,
2020-11-08,55.43,Run,"Pinhoti 100"
2020-11-09,5.08,Run,
2020-11-11,7,Run,
2020-11-15,63.23,Run,"Stinger 12 Hour 1st Male!
60.47m  (97.22km)"
2020-11-17,4.13,Run,
2020-11-19,10,Run,
2020-11-19,5.17,Run,
2020-11-20,3,Walk,
2020-11-20,3.8,Walk,
2020-11-21,5.58,Run,
2020-11-21,5,Walk,
2020-11-21,2,Walk,
2020-11-22,10,Run,
2020-11-23,7.6,Walk,
2020-11-24,6.1,Walk,
2020-11-25,6.1,Walk,
2020-11-25,2.05,Run,
2020-11-26,10.01,Run,
2020-11-27,6.6,Walk,
2020-11-29,3.62,Run,
2020-11-29,6.2,Walk,
2020-11-28,8.4,Run,
