"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-03,0.32,Walk,
2020-10-04,7.88,Walk,
2020-10-05,4.23,Run,
2020-10-06,7.26,Walk,
2020-10-07,7.48,Run,
2020-10-09,6.69,Run,
2020-10-08,6.55,Run,
2020-10-10,50,Run,
2020-10-11,2.92,Run,
2020-10-12,1.88,Run,
2020-10-13,3.65,Walk,
2020-10-14,5.02,Run,
2020-10-15,5.6,Run,
2020-10-15,4,Run,
2020-10-16,4.06,Run,
2020-10-16,9.53,Run,
2020-10-17,7.25,Run,
2020-10-17,5.16,Run,
2020-10-18,8.41,Run,
2020-10-19,5,Run,
2020-10-20,5.83,Run,
2020-10-20,4.1,Run,
2020-10-21,5.95,Run,
2020-10-22,7.41,Run,
2020-10-24,16.8,Run,
2020-10-25,9.14,Run,
2020-10-27,6.14,Run,
2020-10-26,5.57,Run,
2020-10-28,7.52,Run,
2020-10-29,5.52,Run,
2020-10-31,15.56,Run,
