"Activity Date","Distance in Miles","Activity Type",Comment
2021-05-16,23.63,Run,"Clear the Fog 300
Day 4
 
Both James and Josh completed 33 miles today. There are 18.74 miles left to complete Region 9 and I'm applying 9.37 to James and 9.37 to Josh (18.74 combined to close out region 9) with the balance remaining of their 33 miles each to be applied to Region 10 (23.63 each)."
2021-05-17,41.85,Run,"Clear the Fog 300
Day 4
(163.85 of 320+ miles completed)"
2021-05-18,38.58,Run,"Clear the Fog
Day 5
(202.43 of 320+ miles.comoleted)"
2021-05-19,37.77,Run,"Clear the Fog 300
Day 6
(240.2 of 320+ miles)"
2021-05-20,33,Run,"Clear the Fog 300
Day 7
(273.2 of 320+ miles)
Tomorrow is the final push!"
2021-05-21,42.69,Run,"Clear the Fog 300 Completed! 
315.89 miles"
2021-05-27,5.36,Run,
2021-06-03,5.16,Run,
2021-06-07,10.65,Run,
2021-06-08,10.03,Run,
2021-06-15,4.4,Walk,
2021-06-17,58.24,Run,"HOTS
Day 1"
2021-06-18,41.6,Run,"HOTS 
Day 2
(Cumulative: 99.84)"
2021-06-19,54.14,Run,"HOTS
Day3
(Cumulative: 153.98)"
