"Activity Date","Distance in Miles","Activity Type",Comment
2021-04-13,12.29,Run,
2021-04-14,10.41,Run,
2021-04-16,12.24,Run,
2021-04-19,6.56,Run,
2021-04-21,12.16,Run,
2021-04-20,10.38,Run,
2021-04-24,37.68,Run,
2021-04-24,12.23,Run,
2021-04-25,33.81,Run,
2021-04-28,9.12,Run,
2021-04-29,12.26,Run,
2021-05-02,2.34,Run,
2021-05-03,12.22,Run,
2021-05-05,2.03,Run,
2021-05-05,2.08,Run,
2021-05-06,12.27,Run,
2021-05-07,5.2,Run,
2021-05-13,4.92,Walk,
2021-05-14,47,Run,"Clear the Fog
Day 1"
2021-05-15,42,Run,"Clear the Fog 300
Day 2
May 15, 2018 is the day Aaron took his own life."
2021-05-16,9.37,Run,"Clear the Fog 300
Day 4
Both James and Josh each completed  33 miles today. There are 18.74 miles left to complete Region 9 and I'm applying 9.37 to James and 9.37 to Josh (18.74 combined to close out region 9) with the balance remaining of their 33 miles each to be applied to Region 10 (23.63 each)."
