"Activity Date","Distance in Miles","Activity Type",Comment
2020-12-01,10.13,Run,
2020-12-02,7.5,Run,
2020-12-02,5.73,Run,
2020-12-03,10.48,Run,
2020-12-04,16.1,Run,
2020-12-05,10,Run,
2020-12-06,7.5,Run,"Treadmill and a movie. Kids have a friend over so can’t leave the house."
2020-12-06,5.59,Walk,
2020-12-07,5.59,Run,
2020-12-08,10,Run,
2020-12-09,10,Run,
2020-12-10,6.01,Run,
2020-12-12,62.73,Run,"Swamp 100k"
2020-12-13,2.56,Walk,Recovery
2020-12-14,3.2,Run,
2020-12-17,5.34,Run,
2020-12-18,5.37,Run,
2020-12-20,8,Treadmill,"When you can’t run, walk."
2020-12-21,5,Treadmill,
2020-12-22,5.36,Run,
2020-12-22,5,Treadmill,
2020-12-23,6.54,Run,
2020-12-25,1,Treadmill,
2020-12-25,1,Walk,
2020-12-26,8,Run,
2020-12-27,10,Treadmill,
2020-12-28,8.5,Treadmill,
2020-12-28,5,Treadmill,
