"Activity Date","Distance in Miles","Activity Type",Comment
2021-04-13,13.01,Treadmill,
2021-04-13,2.25,Walk,"Dog walk"
2021-04-14,6.04,Run,
2021-04-14,3.01,Run,
2021-04-16,14.51,Treadmill,
2021-04-16,2.13,Run,
2021-04-17,5.1,Treadmill,
2021-04-17,8.09,Treadmill,
2021-04-17,2.25,Walk,
2021-04-18,5.15,Treadmill,
2021-04-18,3.25,Walk,
2021-04-19,17.12,Run,
2021-04-19,3.21,Run,
2021-04-20,10.2,Run,
2021-04-21,9.11,Run,
2021-04-21,2.35,Walk,
2021-04-22,3.58,Walk,"Dog walk"
2021-04-24,5.01,Treadmill,
2021-04-24,3.24,Walk,"Dog walk"
2021-04-25,6.2,Walk,"Dog walk"
2021-04-25,10.21,Run,
2021-04-26,5.02,Run,
2021-04-26,2.98,Walk,"Dog walk"
2021-04-26,3.25,Walk,"Dog walk"
2021-04-27,5.05,Treadmill,
2021-04-27,3.24,Walk,"Dog walk"
2021-04-28,14.5,Treadmill,
2021-04-28,2.68,Run,
2021-04-29,3.25,Walk,"Dog walk"
2021-04-30,5.15,Treadmill,
2021-04-30,3.29,Walk,"Dog walk!"
2021-05-01,5.25,Walk,"Dog walk"
2021-05-02,6.31,Run,
2021-05-02,3.75,Run,
2021-05-02,2.24,Walk,
2021-05-03,7.06,Run,
2021-05-03,9.98,Treadmill,
2021-05-04,2.18,Run,"Thunder and lightning"
2021-05-04,3.1,Treadmill,
2021-05-04,2.45,Walk,
2021-05-05,2.55,Walk,"Dog walk"
2021-05-06,15.17,Run,
2021-05-07,3.54,Walk,
2021-05-10,10.24,Run,
2021-05-10,7.45,Walk,
2021-05-12,4.12,Run,
2021-05-12,3.45,Walk,"Dog walk"
2021-05-13,3.32,Walk,"Dog walk"
