"Activity Date","Distance in Miles","Activity Type",Comment
2021-06-19,25.53,Run,"HOTS
Day 3
(Cumulative: (119.65)"
2021-06-20,28.35,Run,"HOTS
Day 4
(Cumulative: 148)"
2021-06-21,48.82,Run,"HOTS Day 5
(Cumulative: 196.82)"
2021-06-22,43,Run,"HOTS
Day 6
(Cumulative: 239.82)"
2021-06-23,51.18,Run,"HOTS
Day 7
(Cumulative: 291)"
2021-06-24,43,Run,"HOTS
Day 8"
2021-06-29,3.4,Walk,"Slow recovery dog walk"
2021-07-01,6.45,Walk,"Slow slog with girls and dogs!"
2021-07-02,4.45,Walk,"Dog walk. Feeling better"
2021-07-04,3.1,Run,"Slow jog a little stiff"
2021-07-04,5.31,Walk,"Recovery walk with hubby and dogs! Nice and cool out!"
2021-07-06,4.45,Walk,"Dog slog"
2021-07-06,3.91,Run,"Shuffle around the pond"
2021-07-07,3.1,Walk,"Evening shake out"
2021-07-10,4.21,Run,
2021-07-10,8.35,Walk,"Sightseeing and getting in my miles"
2021-07-11,2.05,Run,
2021-07-11,4.01,Walk,"Recovery after my 2 mile run!"
2021-07-12,3.2,Walk,"Slow walk"
2021-07-13,1.01,Run,"Feeling lazy"
2021-07-15,2.1,Run,
2021-07-15,3.45,Walk,
2021-07-20,4.21,Run,
2021-07-20,6.5,Walk,"Slow slog around the pond"
2021-07-22,10.22,Run,
2021-07-22,6.44,Walk,"Walk through the woods!  So much fun!"
2021-07-24,4.01,Run,
2021-07-24,6.45,Walk,"Animals and more animals!  And bugs!"
2021-07-25,3.41,Walk,"To HoT"
2021-07-25,1.01,Run,Hot
2021-07-26,0.81,Run,
2021-07-26,3.95,Walk,"Hot as hell!"
2021-07-27,3.35,Walk,"Slow and steady"
2021-07-28,3.01,Run,"Shake out run"
2021-07-28,3.45,Walk,Sluggish
