"Activity Date","Distance in Miles","Activity Type",Comment
2021-01-26,2.03,Run,
2021-01-26,10.8,Treadmill,
2021-01-27,8.9,Treadmill,
2021-01-28,2,Run,
2021-01-28,2.02,Run,
2021-01-28,8.03,Treadmill,
2021-01-29,10.2,Treadmill,
2021-01-30,14.88,Treadmill,
2021-01-31,16.05,Run,
2021-02-01,6.1,Treadmill,
2021-02-02,11.5,Treadmill,
2021-02-03,16.1,Run,
2021-02-04,10.08,Treadmill,
2021-02-05,9.01,Run,
2021-02-05,5.04,Treadmill,
2021-02-06,11.7,Treadmill,
2021-02-07,16.02,Run,
2021-02-08,5.6,Treadmill,
2021-02-09,8.3,Treadmill,
2021-02-09,8.24,Treadmill,
2021-02-10,9.2,Treadmill,
2021-02-11,8.8,Treadmill,
2021-02-12,5.53,Treadmill,
2021-02-13,10.49,Treadmill,
2021-02-14,6.77,Treadmill,
2021-02-15,8.57,Treadmill,
2021-02-16,9.5,Treadmill,
2021-02-18,1.01,Run,
2021-02-18,5.83,Treadmill,
2021-02-20,7.55,Treadmill,
2021-02-19,7.6,Treadmill,
2021-02-20,6,Treadmill,
2021-02-21,11.07,Treadmill,
2021-02-22,7,Treadmill,
