"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-03,11,Run,
2020-10-03,2,Walk,
2020-10-04,10,Run,
2020-10-04,2.1,Run,
2020-10-05,15.85,Run,
2020-10-05,6.04,Walk,
2020-10-06,11.77,Run,
2020-10-07,8.52,Run,
2020-10-08,2.06,Run,
2020-10-10,52.92,Run,
2020-10-12,11.64,Run,
2020-10-13,7.1,Run,
2020-10-13,2.02,Run,
2020-10-14,10.11,Run,
2020-10-14,5.01,Walk,
2020-10-15,6.72,Run,
2020-10-16,9.48,Run,
2020-10-17,22.1,Run,
2020-10-18,9.15,Run,
2020-10-18,7.54,Run,
2020-10-19,6.01,Run,
2020-10-19,8.22,Run,
2020-10-20,3.38,Run,
2020-10-21,16.14,Run,
2020-10-21,4.04,Run,
2020-10-22,12.08,Run,
2020-10-23,13.41,Run,
2020-10-24,15.04,Run,
2020-10-25,2.44,Run,
2020-10-25,4.22,Walk,
2020-10-26,26.3,Run,
2020-10-26,1.59,Run,
2020-10-26,3.05,Run,
2020-10-27,4.13,Run,
2020-10-28,8.02,Run,
2020-10-28,2.98,Run,
2020-10-29,5.04,Run,
2020-10-29,5.17,Run,
2020-10-29,2.04,Run,
2020-10-29,2.03,Run,
2020-10-30,10.05,Run,
2020-10-30,5.06,Run,
2020-10-30,4,Run,
2020-10-31,3.2,Run,
