"Activity Date","Distance in Miles","Activity Type",Comment
2021-07-30,2.12,Walk,"Walked along military stage road!  Tomorrow is race day!"
2021-07-31,64.6,Run,
2021-07-31,7.17,Run,
2021-08-01,10.19,Run,
2021-08-01,40,Run,
2021-08-02,1.55,Walk,"Recovery walk with hubby and dogs!"
2021-08-04,3.02,Walk,"Dog walk"
2021-08-04,3,Walk,"Slow walk to pick up car!!!"
2021-08-06,5.21,Walk,"Walk to post office"
2021-08-06,2.01,Run,"Slow jog around the pond with my youngest!"
2021-08-07,3.45,Walk,"Recovery is hard! And it hurts…"
2021-08-09,3.33,Run,
2021-08-09,4.01,Walk,"Dog walk"
2021-08-10,4.01,Run,"Slowly getting back"
2021-08-10,3.45,Walk,"Dog walk"
2021-08-11,4.21,Run,"Slow jog in heat"
2021-08-11,6.02,Walk,"Walk to Walgreens to p/u prescription!"
2021-08-12,6.45,Run,Hot!!!
2021-08-12,4.89,Walk,"Walk to the post office!"
2021-08-13,3.45,Walk,"Dog walk!"
2021-08-14,2.45,Run,"Run with my girls"
2021-08-14,8.1,Walk,
2021-08-14,2.01,Walk,"Dog walk!"
2021-08-15,6.55,Walk,"Walk to Kroger!"
2021-08-15,3.96,Run,"Rain hit me! Thunder and lightning followed… just short of 4…"
2021-08-16,6.41,Walk,"Walk to pick up car!"
2021-08-16,3.02,Run,"Jog around the pond"
2021-08-17,10.01,Run,"Longest run so far!"
2021-08-17,4.02,Walk,"Doggie walk"
2021-08-18,5.01,Run,"This one hurt"
2021-08-18,5.33,Walk,"Dog walk x2"
2021-08-19,2.25,Run,"Got rained on"
2021-08-19,2.45,Walk,"Muddy dog walk"
2021-08-20,13.01,Run,"Almost made it to Walmart and then it poured buckets on me!"
2021-08-20,6.93,Walk,"Soggy walk home"
2021-08-20,2.25,Walk,"Dog walk"
2021-08-21,10.01,Run,"Humid as hell"
2021-08-21,4.01,Walk,"Dog walk with hubby"
2021-08-22,14.01,Run,"This was so hard and took forever!"
2021-08-23,4.22,Run,"Slow run this mirning"
2021-08-23,5.55,Walk,"Dog walk X2 really hot"
2021-08-25,4.01,Walk,"Dog walk"
2021-08-26,11.11,Run,Run
2021-08-26,6.55,Walk,"Walking talking and hiking with the girls and dogs!"
2021-08-27,10.02,Run,"Hot hot hot"
2021-08-28,6.33,Walk,"Morning dog walk"
2021-08-28,4.01,Run,"Slow jog"
