"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-03,1.5,Walk,
2020-10-04,7.35,Run,https://www.strava.com/activities/4150549706
2020-10-04,1.25,Walk,https://www.strava.com/activities/4152838521
2020-10-05,1.67,Run,
2020-10-06,10.01,Run,
2020-10-07,10.01,Run,
2020-10-05,3,Run,
2020-10-07,2.76,Walk,https://www.strava.com/activities/4161580795
2020-10-05,0.8,Run,
2020-10-08,7.34,Run,https://www.strava.com/activities/4167230038
2020-10-08,4,Walk,https://www.strava.com/activities/4169310340?utm_source=com.google.android.talk&utm_medium=referral
2020-10-09,0.58,Walk,"https://www.strava.com/activities/4170312782
https://www.strava.com/activities/4169440692"
2020-10-09,4,Walk,https://www.strava.com/activities/4173338147?utm_source=org.thoughtcrime.securesms&utm_medium=referral
2020-10-09,0.32,Run,
2020-10-10,15,Run,"Watch died.  Data to follow.  Still running"
2020-10-10,5.08,Run,"Check out my activity on Strava: https://strava.app.link/UjiJJDzqtab"
2020-10-10,1.06,Walk,"Check out my activity on Strava: https://strava.app.link/yh70wrq7tab"
2020-10-10,9.19,Run,https://www.strava.com/activities/4180947043
2020-10-11,0.28,Walk,
2020-10-11,1.19,Run,https://www.strava.com/activities/4183521179
2020-10-12,0.71,Walk,https://www.strava.com/activities/4184882838
2020-10-12,1.68,Run,"Check out my activity on Strava: https://strava.app.link/RUwrxOYWxab"
2020-10-12,3.3,Walk,"Check out my 3.3 mi Run on Strava: https://www.strava.com/activities/4188784684?utm_source=org.thoughtcrime.securesms&utm_medium=referral"
2020-10-13,7,Run,"Check out my activity on Strava: https://strava.app.link/wOZsQocayab"
2020-10-13,2.11,Walk,"Check out my activity on Strava: https://strava.app.link/6WyWWxD8yab"
2020-10-14,7.3,Run,"Check out my activity on Strava: https://strava.app.link/gbdEaRdOzab"
2020-10-14,0.51,Walk,"Incorrect previous mileage as tracking device failed.  Created new entry with appropriate miles.  https://www.strava.com/activities/4196524879"
2020-10-14,1.2,Walk,https://www.strava.com/activities/4196613908
2020-10-15,8.2,Run,https://www.strava.com/activities/4197837787
2020-10-15,0.6,Walk,
2020-10-16,1.03,Walk,"Check out my activity on Strava: https://strava.app.link/IWIdmMNgDab"
2020-10-16,0.8,Walk,"Check out my activity on Strava: https://strava.app.link/huQeBEX3Dab"
2020-10-17,4,Walk,https://www.strava.com/activities/4206618845?utm_source=org.thoughtcrime.securesms&utm_medium=referral
2020-10-18,4,Walk,https://www.strava.com/activities/4211018663?utm_source=org.thoughtcrime.securesms&utm_medium=referral
2020-10-18,1.26,Walk,
2020-10-19,0.77,Walk,
2020-10-21,6.01,Run,
2020-10-22,0.72,Run,
2020-10-22,0.61,Run,
2020-10-23,3.11,Run,https://www.strava.com/activities/4232473849
2020-10-23,1.3,Walk,https://www.strava.com/activities/4234815231
2020-10-22,4,Walk,
2020-10-23,0.5,Walk,
2020-10-24,11.03,Run,
2020-10-25,3.26,Run,https://www.strava.com/activities/4242067169
2020-10-24,1.56,Walk,https://www.strava.com/activities/4239495554
2020-10-25,1.6,Walk,
2020-10-26,0.63,Walk,https://www.strava.com/activities/4245566681
2020-10-27,6,Run,"Watch Quit - https://www.strava.com/activities/4249638620"
2020-10-28,1.16,Run,
2020-10-28,4.2,Run,
2020-10-28,2.15,Run,
2020-10-29,3.08,Run,https://www.strava.com/activities/4260254580
2020-10-29,6.97,Run,https://www.strava.com/activities/4258085539
2020-10-27,3.77,Walk,https://www.strava.com/activities/4252698378
2020-10-29,0.94,Walk,
2020-10-30,0.77,Walk,
2020-10-30,1.9,Walk,
2020-10-31,10.03,Run,
