"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-03,22.82,Run,
2020-10-04,12.22,Run,
2020-10-04,6.99,Walk,
2020-10-05,9,Run,
2020-10-05,7.18,Walk,
2020-10-06,4.008,Run,
2020-10-06,5.626,Run,
2020-10-06,2.808,Walk,
2020-10-07,10.35,Walk,
2020-10-08,10.125,Run,
2020-10-08,1.389,Walk,
2020-10-09,5.587,Run,
2020-10-09,5.398,Walk,
2020-10-10,11.761,Walk,
2020-10-11,11.166,Run,
2020-10-11,5.102,Walk,
2020-10-12,8.006,Run,
2020-10-12,2.771,Walk,
2020-10-13,7.939,Walk,
2020-10-13,2.07,Run,
2020-10-14,7.565,Run,
2020-10-14,5.817,Walk,
2020-10-15,4.238,Walk,
2020-10-15,3.37,Run,
2020-10-15,3.328,Run,
2020-10-16,5.008,Run,
2020-10-16,4.45,Walk,
2020-10-17,7.97,Walk,
2020-10-18,11.62,Walk,
2020-10-19,3.18,Run,
2020-10-19,5.56,Run,
2020-10-19,7.174,Run,
2020-10-19,1.608,Walk,
2020-10-20,4.23,Run,
2020-10-20,5.476,Run,
2020-10-20,6.06,Run,
2020-10-20,2.698,Walk,
2020-10-21,4.148,Run,
2020-10-21,3.24,Walk,
2020-10-21,2.77,Walk,
2020-10-22,4.399,Run,
2020-10-22,4.792,Walk,
2020-10-23,3.558,Walk,
2020-10-23,5.12,Walk,
2020-10-24,26.2,Run,
2020-10-24,2.739,Walk,
2020-10-25,12.248,Walk,
2020-10-25,2.91,Walk,
2020-10-26,4.063,Walk,
2020-10-26,5.02,Run,
2020-10-26,7.91,Run,
2020-10-26,2.522,Walk,
2020-10-27,4.071,Run,
2020-10-27,7.008,Run,
2020-10-27,6.037,Run,
2020-10-27,1.292,Walk,
2020-10-28,3.244,Run,
2020-10-28,8.314,Run,
2020-10-28,1.511,Walk,
2020-10-29,4.136,Run,
2020-10-29,6.306,Run,
2020-10-29,1.589,Walk,
2020-10-30,4.179,Run,
2020-10-30,7.01,Run,
2020-10-30,3.775,Walk,
2020-10-31,11.15,Run,
2020-10-31,11.15,Run,
2020-10-31,7.29,Run,
