"Activity Date","Distance in Miles","Activity Type",Comment
2020-12-01,2.585,Walk,
2020-12-01,6.26,Walk,
2020-12-01,2.883,Walk,
2020-12-02,6.255,Walk,
2020-12-02,3.731,Walk,
2020-12-03,6.25,Walk,
2020-12-03,2.22,Walk,
2020-12-05,100.17,Treadmill,
2020-12-06,7.18,Walk,
2020-12-07,3.15,Walk,
2020-12-07,7.02,Run,
2020-12-07,1.5,Walk,
2020-12-08,4.27,Walk,
2020-12-08,9.02,Run,
2020-12-09,7.11,Run,
2020-12-09,8.21,Run,
2020-12-10,8.16,Run,
2020-12-10,5.06,Walk,
2020-12-10,2.53,Walk,
2020-12-11,6.054,Run,
2020-12-11,7.06,Run,
2020-12-12,15.02,Run,
2020-12-12,10.03,Walk,
2020-12-13,11.03,Run,
2020-12-13,7.05,Walk,
2020-12-13,1.841,Walk,
2020-12-14,7.07,Run,
2020-12-14,3.2,Walk,
2020-12-14,2.01,Walk,
2020-12-15,5.1,Walk,
2020-12-15,7.03,Walk,
2020-12-15,2.346,Walk,
2020-12-16,9.586,Walk,
2020-12-16,2.359,Walk,
2020-12-17,7.44,Walk,
2020-12-17,2.73,Walk,
2020-12-18,4.27,Walk,
2020-12-18,7.24,Walk,
2020-12-18,2.06,Walk,
2020-12-19,10.26,Run,
2020-12-19,3.73,Run,
2020-12-19,6.57,Walk,
2020-12-19,2.28,Walk,
2020-12-20,8.09,Walk,
2020-12-20,9.16,Walk,
2020-12-20,3.2,Walk,
2020-12-21,11.3,Treadmill,
2020-12-21,7.21,Walk,
2020-12-21,2.03,Walk,
2020-12-22,4.072,Walk,
2020-12-22,3.132,Walk,
2020-12-22,1.88,Walk,
2020-12-23,5.67,Treadmill,
2020-12-23,7.04,Treadmill,
2020-12-23,8.49,Treadmill,
2020-12-23,2.05,Walk,
2020-12-24,12.63,Treadmill,
2020-12-24,1.5,Walk,
2020-12-25,10.18,Walk,
2020-12-25,4.06,Walk,
2020-12-26,10.3,Walk,
2020-12-26,10.17,Walk,
2020-12-26,1.25,Walk,
2020-12-27,7.68,Walk,
2020-12-27,13.36,Run,
2020-12-27,2.29,Walk,
2020-12-28,7.14,Treadmill,
2020-12-28,10.14,Treadmill,
2020-12-28,1.88,Walk,
2020-12-29,6.22,Treadmill,
2020-12-29,6.22,Walk,
2020-12-29,2.6,Walk,
2020-12-30,11.9,Treadmill,"Treadmill Desk time"
2020-12-30,3.7,Walk,
