"Activity Date","Distance in Miles","Activity Type",Comment
2021-07-30,2,Walk,
2021-07-31,10.31,Treadmill,
2021-07-31,1.5,Walk,
2021-08-01,2,Walk,
2021-08-02,6.39,Treadmill,
2021-08-02,3.1,Walk,
2021-08-03,4.08,Walk,
2021-08-04,7.16,Treadmill,
2021-08-04,4.1,Walk,
2021-08-05,4.1,Walk,
2021-08-06,4.1,Walk,
2021-08-07,9.17,Treadmill,
2021-08-07,2.6,Walk,
2021-08-08,12.58,Treadmill,
2021-08-08,1.6,Walk,
2021-08-09,5.03,Treadmill,
2021-08-09,2.4,Walk,
2021-08-10,4.3,Walk,
2021-08-11,4.1,Walk,"Laps around work campus"
2021-08-12,4.1,Walk,"Laps around work campus"
2021-08-13,5.02,Treadmill,
2021-08-13,2.9,Walk,
2021-08-14,2.8,Walk,
2021-08-15,2.51,Walk,
2021-08-16,2.1,Walk,
2021-08-17,0.95,Walk,
2021-08-18,1.43,Walk,
2021-08-19,2.27,Walk,
2021-08-20,2.36,Walk,
2021-08-21,10.09,Treadmill,
2021-08-21,1.93,Walk,
2021-08-22,10.22,Treadmill,
2021-08-22,2.88,Walk,
2021-08-23,4.1,Walk,"Work campus laps"
2021-08-24,4.1,Walk,"Work campus laps"
