"Activity Date","Distance in Miles","Activity Type",Comment
2021-05-16,2.8,Walk,"Neighborhood stroll"
2021-05-17,3.44,Run,
2021-05-17,4.45,Treadmill,"Treadmill desk time"
2021-05-17,2.3,Walk,"Neighborhood stroll"
2021-05-18,3.25,Treadmill,
2021-05-18,3.05,Treadmill,
2021-05-18,2.4,Walk,"Neighborhood stroll"
2021-05-19,6.59,Treadmill,
2021-05-19,1.8,Walk,
2021-05-21,2.8,Walk,
2021-05-21,12.05,Treadmill,
2021-05-22,2,Walk,"Around the neighborhood"
2021-05-23,1.95,Walk,"Neighborhood stroll."
2021-05-24,2.1,Walk,"neighborhood stroll"
2021-05-24,6.2,Treadmill,
2021-05-25,3.12,Treadmill,"TM Desk Pt 1"
2021-05-25,2.43,Treadmill,"TM Desk pt 2"
2021-05-25,10.08,Treadmill,
2021-05-25,1.3,Walk,"Neighborhood stroll"
2021-05-26,8.04,Treadmill,
2021-05-26,6.1,Treadmill,
2021-05-27,2.7,Walk,"Neighborhood Stroll"
2021-05-27,12.06,Treadmill,
2021-05-28,2.3,Walk,"Neighborhood stroll"
2021-05-28,4.59,Treadmill,
2021-05-28,3.2,Walk,"Walking with my 9 yr old son."
2021-05-29,2.6,Walk,"Walking with son"
2021-05-30,3.6,Walk,
2021-05-31,12.09,Treadmill,
2021-05-31,3.6,Walk,"Walk/Run with my 9 year old"
2021-06-01,8.14,Treadmill,
2021-06-01,1.3,Walk,
2021-06-02,6.15,Treadmill,
2021-06-02,1.8,Walk,
2021-06-03,6.52,Treadmill,
2021-06-03,4.05,Treadmill,
2021-06-03,1.9,Walk,"Neighborhood with the dogs this time."
2021-06-04,8.38,Treadmill,
2021-06-05,1.8,Walk,
2021-06-05,3.3,Walk,
2021-06-06,9.35,Treadmill,
2021-06-06,5,Treadmill,
2021-06-06,3.4,Walk,"Chasing my 9 year old around the neighborhood this morning before the rain came in"
2021-06-07,7.73,Treadmill,
2021-06-07,2.2,Walk,
2021-06-08,6.28,Treadmill,
2021-06-08,4.2,Walk,"Ft Worth Stockyards"
2021-06-09,8.08,Treadmill,
2021-06-09,8.1,Walk,"Laps of Grapevine Mills all afternoon. 😆 Honestly it felt like a lot further..."
2021-06-10,5.05,Treadmill,
2021-06-10,5.5,Walk,"Ft Worth Stockyards"
2021-06-11,4.1,Walk,
2021-06-12,3.9,Walk,
2021-06-13,11.04,Treadmill,
2021-06-13,2.9,Walk,"Hot afternoon walking the dogs"
2021-06-14,2.7,Walk,"Walking the dogs"
2021-06-15,10.14,Treadmill,
2021-06-15,1.7,Walk,
2021-06-16,2,Walk,"Walking the dogs"
2021-06-17,2.1,Walk,"Hot afternoon walk with the dogs"
2021-06-18,7.09,Treadmill,
2021-06-18,3.1,Walk,
2021-06-19,2.3,Walk,
