"Activity Date","Distance in Miles","Activity Type",Comment
2021-02-22,6.23,Treadmill,
2021-02-23,8.02,Run,
2021-02-24,3.26,Run,
2021-02-24,9,Treadmill,"Treadmill Desk time"
2021-02-25,3.43,Run,
2021-02-25,7.08,Treadmill,
2021-02-26,9.12,Treadmill,
2021-02-26,4.13,Walk,"Branson Landing"
2021-02-27,5.1,Walk,
2021-02-28,3.1,Walk,
2021-03-01,8.11,Run,
2021-03-02,7.87,Treadmill,
2021-03-02,2.21,Walk,
2021-03-03,4.79,Walk,
2021-03-03,3.4,Treadmill,
2021-03-04,3.51,Walk,
2021-03-05,3.61,Treadmill,
2021-03-06,31.16,Run,
2021-03-07,2.58,Walk,
2021-03-07,1.95,Walk,
2021-03-08,2.46,Run,
2021-03-08,2.63,Treadmill,
2021-03-08,6.58,Treadmill,
2021-03-09,7.19,Treadmill,
2021-03-09,1.9,Walk,"Neighborhood stroll"
2021-03-10,8.03,Treadmill,
2021-03-10,1.26,Walk,"Neighborhood stroll"
2021-03-11,3.38,Treadmill,
2021-03-11,7.44,Treadmill,
2021-03-11,3.2,Walk,"Neighborhood stroll"
2021-03-12,6.15,Treadmill,
2021-03-12,2.5,Walk,"Neighborhood stroll"
2021-03-13,11.11,Treadmill,
2021-03-13,2.8,Walk,"Neighborhood stroll/Dog Walk"
2021-03-14,15.12,Treadmill,
2021-03-15,5,Run,
2021-03-15,4.5,Walk,
2021-03-16,7.17,Treadmill,
2021-03-17,8.26,Treadmill,
2021-03-17,5.3,Treadmill,
2021-03-18,5.02,Treadmill,
2021-03-18,13.59,Treadmill,
2021-03-18,2.4,Treadmill,"Extra Treadmill desk time...(forgot to start my Strava :-)"
2021-03-19,5.1,Run,
