"Activity Date","Distance in Miles","Activity Type",Comment
2021-01-26,1.65,Treadmill,
2021-01-26,5.75,Walk,"Modern day ""mall walking"" while waiting for my oil change at Walmart :-) (non-Strava)"
2021-01-27,7.06,Treadmill,
2021-01-27,11.4,Treadmill,"Treadmill Desk Time"
2021-01-28,6.81,Treadmill,
2021-01-28,5.39,Treadmill,
2021-01-29,5.53,Treadmill,
2021-01-29,7.71,Treadmill,
2021-01-30,13.25,Treadmill,
2021-01-30,7.53,Treadmill,
2021-01-30,2.2,Walk,"Round the block with the boy"
2021-01-31,9.04,Treadmill,
2021-01-31,10.12,Treadmill,
2021-01-31,2.76,Walk,"Walking with the boy"
2021-02-01,7.05,Treadmill,
2021-02-01,9.15,Treadmill,
2021-02-02,6.12,Treadmill,
2021-02-02,12.47,Treadmill,
2021-02-03,6.06,Run,
2021-02-03,2.7,Walk,
2021-02-04,8.54,Treadmill,
2021-02-05,4.61,Treadmill,
2021-02-05,4.61,Treadmill,
2021-02-06,2.8,Walk,"Walking with the boy"
2021-02-06,9.33,Treadmill,
2021-02-07,13.92,Treadmill,
2021-02-08,7.523,Treadmill,
2021-02-08,4.779,Treadmill,
2021-02-08,2.595,Walk,
2021-02-09,16.16,Treadmill,
2021-02-10,6.48,Treadmill,
2021-02-11,6.03,Treadmill,
2021-02-11,3.91,Treadmill,
2021-02-12,2.95,Walk,
2021-02-13,15.56,Treadmill,
2021-02-14,12.87,Treadmill,
2021-02-15,14.06,Treadmill,
2021-02-16,5.06,Walk,"Back to treadmill til weather is better. Nasty spill on the ice today."
2021-02-18,12.45,Treadmill,
2021-02-19,11.01,Treadmill,
2021-02-20,5,Walk,
2021-02-21,12.38,Treadmill,
2021-02-21,7.2,Treadmill,
2021-02-22,4.02,Walk,
