"Activity Date","Distance in Miles","Activity Type",Comment
2021-07-30,0.1,Walk,
2021-07-31,3.11,Run,
2021-07-31,3.1,Walk,
2021-08-01,6.8,Walk,
2021-08-02,4.25,Run,
2021-08-02,4.23,Run,
2021-08-02,5.2,Walk,
2021-08-03,4.36,Run,
2021-08-03,6.8,Run,
2021-08-04,6.05,Run,
2021-08-04,3.7,Walk,
2021-08-05,10.41,Run,
2021-08-06,6,Walk,
2021-08-07,22.26,Run,"Extra miles for superstar Connie!"
2021-08-08,6,Walk,
2021-08-09,8.9,Run,
2021-08-10,9.86,Run,
2021-08-11,6.3,Walk,
2021-08-12,5.01,Run,
2021-08-12,3.5,Walk,
2021-08-13,3.7,Walk,
2021-08-14,10.15,Walk,
2021-08-15,6.1,Walk,
2021-08-16,4.23,Run,
2021-08-16,5,Walk,
2021-08-17,9.1,Walk,
2021-08-18,4.01,Run,
2021-08-18,5.5,Walk,
2021-08-19,9.6,Run,
2021-08-20,3.8,Walk,
2021-08-21,40.79,Run,"Boom baby!"
2021-08-22,2.2,Walk,"Little recovery after yesterday"
2021-08-22,3.6,Walk,
2021-08-23,3.5,Walk,
2021-08-24,7.2,Walk,
2021-08-25,4.76,Run,
2021-08-25,6.5,Walk,
2021-08-26,8.7,Run,
2021-08-27,5,Walk,
2021-08-28,2,Walk,
