"Activity Date","Distance in Miles","Activity Type",Comment
2021-06-20,0.4,Walk,
2021-06-21,0.4,Walk,"Laid up sorry all day. Longest I’ve felt this sore in a long time. Went to mailbox a few times that’s it. One day at a time"
2021-06-22,4.3,Walk,
2021-06-23,1.3,Walk,
2021-06-24,4.1,Run,
2021-06-24,2.8,Walk,
2021-06-25,2.5,Walk,
2021-06-26,5.03,Run,
2021-06-27,3.3,Walk,
2021-06-28,4.5,Run,
2021-06-28,5,Walk,
2021-06-29,6.54,Run,
2021-06-29,3.8,Walk,
2021-06-30,6,Walk,
2021-07-01,10.03,Run,
2021-07-01,2,Walk,
2021-07-02,10,Run,
2021-07-02,5,Walk,
2021-07-03,11.35,Run,
2021-07-03,7.1,Walk,
2021-07-04,5,Run,
2021-07-04,2.6,Walk,
2021-07-05,13.34,Run,
2021-07-06,4.1,Walk,
2021-07-07,2,Walk,
2021-07-08,6.31,Run,
2021-07-08,3,Walk,
2021-07-09,6,Walk,
2021-07-10,6,Run,
2021-07-12,9,Run,
2021-07-13,6.2,Run,
2021-07-13,4,Run,
2021-07-14,11.11,Run,
2021-07-15,6.4,Walk,
2021-07-16,4.5,Walk,
2021-07-16,5,Run,
2021-07-17,2.5,Walk,
2021-07-19,6.21,Run,
2021-07-19,4.5,Walk,
2021-07-20,11.2,Run,
2021-07-21,5.7,Walk,
2021-07-22,7.4,Walk,
2021-07-23,8.61,Run,
2021-07-24,10.72,Run,
2021-07-24,1.9,Walk,
2021-07-26,11,Run,
2021-07-27,7.5,Run,
2021-07-28,6.6,Walk,
2021-07-29,4.21,Run,
2021-07-29,4.4,Walk,
2021-07-30,7.61,Run,
2021-07-30,4.7,Walk,
