"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-31,1.01,Walk,
2020-11-01,8,Run,
2020-11-02,2.2,Walk,
2020-11-03,6,Run,
2020-11-03,3.2,Walk,
2020-11-04,3.03,Run,
2020-11-04,4.6,Run,
2020-11-05,1,Walk,
2020-11-05,4.32,Run,
2020-11-06,1,Walk,
2020-11-06,4.29,Walk,
2020-11-08,113.5,Run,"3rd OA at Kentucky Last Sole Standing!
27 laps (4.15 miles/lap)"
2020-11-09,1,Walk,"Hurt so good :)"
2020-11-10,1.6,Walk,
2020-11-10,2.41,Run,
2020-11-11,2.02,Walk,
2020-11-11,5,Run,
2020-11-12,1.11,Walk,
2020-11-12,2,Walk,
2020-11-13,2,Walk,
2020-11-13,3.52,Run,"Legs coming back. 🏃✔️💯🇺🇸❤️💥🏃🏿‍♀️💪🏾"
2020-11-14,9.13,Run,
2020-11-15,2.03,Walk,
2020-11-16,5,Walk,
2020-11-16,5.06,Run,
2020-11-16,1.63,Walk,
2020-11-17,6.01,Run,
2020-11-18,2.05,Walk,
2020-11-18,2,Walk,
2020-11-19,9.15,Run,
2020-11-20,1,Walk,
2020-11-20,4.2,Run,
2020-11-22,10,Run,
2020-11-23,8,Run,
2020-11-24,2,Walk,
2020-11-24,5.04,Run,
2020-11-25,7.21,Run,
2020-11-26,11.63,Run,
2020-11-27,3.4,Walk,
2020-11-28,7.04,Run,
2020-11-29,2,Walk,
2020-11-29,13.5,Run,
2020-11-30,10.2,Run,
