"Activity Date","Distance in Miles","Activity Type",Comment
2021-02-24,1.58,Walk,
2021-02-25,1.28,Walk,
2021-02-26,1.28,Walk,
2021-02-27,3.61,Walk,
2021-02-27,0.37,Walk,
2021-02-28,1.29,Walk,
2021-02-28,3.22,Walk,
2021-03-05,1.59,Walk,
2021-03-06,5.25,Treadmill,
2021-03-07,2.479,Walk,"Recorded on Garmin.   3 walks, but not transferring to Strava"
2021-03-08,7.181,Walk,"2activities.  Shops morning and back.  Then 10km walk in afternoon"
2021-03-12,0.764,Walk,"2 short walks.  BaCK AT IT TOMORROW"
2021-03-13,11.558,Walk,"3 Strava activities today.  17.2km this evening!"
2021-03-14,4.878,Walk,"4 Strava Walks"
2021-03-15,2.274,Walk,"1 faster paced strava activity"
