"Activity Date","Distance in Miles","Activity Type",Comment
2020-09-01,2.84,Run,
2020-09-01,3.4,Run,
2020-09-02,6.2,Run,
2020-09-02,3.5,Run,
2020-09-03,10.2,Run,
2020-09-04,4.88,Run,
2020-09-05,12,Run,
2020-09-01,2.84,Run,
2020-09-06,8,Run,
2020-09-07,10.73,Run,
2020-09-09,20,Run,
2020-09-10,2.2,Run,
2020-09-11,20.11,Run,
2020-09-11,0,Run,
2020-09-12,3.2,Run,
2020-09-13,2.56,Run,
2020-09-13,11.86,Run,
2020-09-14,5.2,Run,
2020-09-15,20,Run,
2020-09-16,10.86,Run,
2020-09-17,4.48,Run,
2020-09-18,0,Run,
2020-09-19,7.32,Run,
2020-09-19,3.1,Hike,
2020-09-20,11.51,Run,
2020-09-21,22.04,Run,
2020-09-22,2,Walk,
2020-09-22,6.1,Run,
2020-09-22,1.1,Walk,
2020-09-23,25.2,Run,
2020-09-24,12.2,Walk,
2020-09-25,26.37,Run,
2020-09-26,20.23,Run,
2020-09-28,27.08,Run,
2020-09-29,16.07,Run,
2020-09-27,10.18,Run,
2020-09-30,26.5,Run,
2020-10-02,20.3,Run,
2020-10-03,20,Run,
2020-10-03,11.72,Run,
2020-10-03,0.1,Run,
2020-10-03,5,Run,
2020-10-03,3.53,Run,
