"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-04,3.15,Walk,
2020-10-05,12.29,Run,
2020-10-06,8.13,Run,
2020-10-07,0.27,Walk,
2020-10-08,26.61,Run,
2020-10-09,7.43,Walk,
2020-10-09,10.64,Walk,
2020-10-09,2.1,Walk,
2020-10-10,31.3,Run,
2020-10-10,0.82,Walk,
2020-10-11,1.37,Walk,
2020-10-11,3.3,Walk,
2020-10-12,5.06,Walk,
2020-10-12,10.18,Run,
2020-10-13,20.42,Run,
2020-10-14,20.38,Run,
2020-10-15,20.37,Run,
2020-10-16,4.13,Walk,
2020-10-17,31.37,Run,
2020-10-18,5.15,Walk,
2020-10-18,10.12,Walk,
2020-10-19,24.09,Walk,
2020-10-20,10.1,Walk,
2020-10-21,20.23,Walk,
2020-10-22,17.1,Walk,
2020-10-23,13.1,Walk,
2020-10-24,10.14,Run,
2020-10-25,10.25,Run,
2020-10-26,11.11,Walk,
2020-10-27,20.11,Walk,
2020-10-28,10.13,Run,
2020-10-29,31.17,Run,
2020-10-30,6.39,Walk,
