"Activity Date","Distance in Miles","Activity Type",Comment
2021-05-17,8.58,Walk,
2021-05-18,7.37,Walk,
2021-05-19,9.23,Walk,
2021-05-20,9.21,Walk,
2021-05-21,8.37,Walk,
2021-05-22,7.69,Walk,
2021-05-23,16.82,Walk,
2021-05-25,10.19,Walk,
2021-05-24,6.67,Walk,
2021-05-26,12.54,Walk,
2021-05-27,9.43,Walk,
2021-05-28,5.56,Walk,
2021-05-29,6.54,Walk,
2021-05-30,7.33,Walk,
2021-05-31,9.21,Walk,
2021-06-01,8.23,Walk,
2021-06-02,6.29,Walk,
2021-06-03,7.66,Walk,
2021-06-04,14.92,Walk,
2021-06-05,9.2,Walk,
2021-06-06,7.36,Walk,
2021-06-07,12.23,Walk,
2021-06-08,5.36,Walk,
2021-06-09,11.23,Walk,
2021-06-11,7.26,Walk,
2021-06-12,6.6,Walk,
2021-06-14,12.88,Walk,
2021-06-15,10.61,Walk,
2021-06-16,12.35,Walk,
2021-06-17,8.43,Walk,
2021-06-18,10.19,Walk,
2021-06-19,8.4,Walk,
