"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-31,7.43,Walk,
2020-11-01,29.1,Walk,
2020-11-02,7.09,Walk,
2020-11-03,7.33,Walk,
2020-11-04,11.82,Walk,
2020-11-05,7.49,Walk,
2020-11-06,8.19,Walk,
2020-11-07,10.98,Walk,
2020-11-08,8.18,Walk,
2020-11-09,11.41,Walk,
2020-11-10,8.11,Walk,
2020-11-11,10.27,Walk,
2020-11-12,12.18,Walk,
2020-11-13,12.14,Walk,
2020-11-14,9.21,Walk,
2020-11-15,9.1,Walk,
2020-11-16,10.21,Walk,
2020-11-17,9.47,Run,
2020-11-18,10.75,Walk,
2020-11-19,7.19,Walk,
2020-11-20,8.38,Walk,
2020-11-21,7.38,Walk,
2020-11-22,3.13,Walk,
2020-11-23,12.57,Walk,
2020-11-24,6.61,Walk,
2020-11-25,8.16,Walk,
2020-11-26,10.92,Walk,
2020-11-27,8.12,Walk,
2020-11-28,3.22,Walk,
2020-11-29,7.13,Walk,
2020-11-30,7.58,Walk,
