"Activity Date","Distance in Miles","Activity Type",Comment
2021-01-02,6.48,Walk,
2021-01-03,6.17,Walk,
2021-01-04,9.73,Walk,
2021-01-01,3.1,Walk,
2021-01-05,6.67,Walk,
2021-01-06,9.77,Walk,
2021-01-07,7.63,Walk,
2021-01-08,7.13,Walk,
2021-01-09,8.35,Walk,
2021-01-10,6.77,Walk,
2021-01-12,8.76,Walk,
2021-01-13,7.87,Walk,
2021-01-14,5.79,Walk,"Feeling energized after getting a COVID-19 vaccination today!"
2021-01-15,6.67,Walk,
2021-01-16,6.1,Walk,
2021-01-17,8.34,Walk,
2021-01-18,7.79,Walk,
2021-01-19,7.36,Walk,
2021-01-20,7.68,Walk,
2021-01-21,7.76,Walk,
2021-01-22,7.22,Walk,
2021-01-23,6.07,Walk,
2021-01-24,5.23,Walk,
2021-01-25,7.63,Walk,
