"Activity Date","Distance in Miles","Activity Type",Comment
2020-09-01,6,Run,
2020-09-02,10,Run,
2020-09-03,10.1,Run,
2020-09-04,11.2,Run,
2020-09-05,10,Run,
2020-09-06,10.1,Run,
2020-09-07,10.25,Run,
2020-09-08,11.22,Run,
2020-09-09,10.76,Run,
2020-09-10,11.76,Run,
2020-09-11,11.72,Run,
2020-09-12,10.82,Run,
2020-09-13,17.63,Run,
2020-09-14,10.22,Run,
2020-09-15,14.2,Walk,
2020-09-16,12,Run,
2020-09-17,10.23,Walk,
2020-09-18,0,Walk,
2020-09-18,5.29,Walk,
2020-09-19,14.83,Walk,
2020-09-20,0,Run,
2020-09-20,8.23,Walk,
2020-09-21,9.2,Walk,
2020-09-22,13.1,Walk,
2020-09-23,8.77,Walk,
2020-09-24,10.21,Walk,
2020-09-25,7.41,Walk,
2020-09-26,11.03,Walk,
2020-09-27,8.22,Walk,
2020-09-28,11.86,Walk,
2020-09-29,5.86,Walk,
2020-09-30,12.71,Walk,
2020-10-01,10.25,Walk,
2020-10-02,12.18,Walk,
2020-10-03,11.51,Walk,
