"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-04,5.21,Walk,
2020-10-05,10.88,Walk,
2020-10-06,11.88,Walk,
2020-10-07,11.9,Walk,
2020-10-08,7.41,Walk,
2020-10-09,11.44,Walk,
2020-10-10,10.71,Walk,
2020-10-11,13.33,Walk,
2020-10-12,7.97,Walk,
2020-10-13,11.65,Walk,
2020-10-14,7.08,Walk,
2020-10-15,11.72,Walk,
2020-10-16,10.36,Walk,
2020-10-17,10.74,Walk,
2020-10-18,4.3,Walk,
2020-10-19,15.47,Walk,
2020-10-20,10.88,Walk,
2020-10-21,11.39,Walk,
2020-10-22,10.3,Walk,
2020-10-23,10.43,Walk,
2020-10-24,9.11,Walk,
2020-10-25,11.04,Walk,
2020-10-26,11.41,Walk,
2020-10-27,11.47,Run,
2020-10-28,14.66,Walk,
2020-10-29,7.31,Walk,
2020-10-30,14.72,Walk,
