"Activity Date","Distance in Miles","Activity Type",Comment
2021-05-16,23.63,Run,"Clear the Fog 300 
Day 4 

Both James and Josh completed 33 miles today. There are 18.74 miles left to complete Region 9 and I'm applying 9.37 to James and 9.37 to Josh (18.74 combined to close out region 9) with the balance remaining of their 33 miles each to be applied to Region 10 (23.63 each)."
2021-05-17,41.85,Run,"Clear the Fog 300
Day 4
(163.85 of 320+ miles completed)"
2021-05-18,38.58,Run,"Clear the Fog 300
Day 5
(202.43 of 320+ miles completed)"
2021-05-19,37.77,Run,"Clear the Fog 300
Day 6 
(240.2 of 320+ miles)"
2021-05-20,33,Run,"Clear the Fog 300
Day 7
(273.2 of 320+ miles)
Tomorrow is the final push!"
2021-05-21,42.69,Run,"Clear the Fog 300 Completed! 
Day 8 of 8
315.89 miles"
2021-05-25,1.52,Run,
2021-05-26,0.83,Walk,
2021-05-27,1.83,Run,
2021-05-26,1.27,Walk,
2021-05-29,1.92,Walk,
2021-05-31,3.1,Run,
2021-06-01,2.03,Walk,
2021-06-05,1.31,Run,
2021-06-09,1.6,Run,
2021-06-12,2.37,Run,
2021-06-13,4.38,Run,
2021-06-19,0.48,Walk,
