"Activity Date","Distance in Miles","Activity Type",Comment
2021-06-19,3.08,Run,
2021-06-20,1.14,Treadmill,
2021-06-23,2.03,Walk,
2021-06-25,2,Treadmill,
2021-06-26,2.17,Run,
2021-06-27,1.49,Walk,
2021-06-29,1.97,Run,
2021-07-04,3.21,Run,
2021-07-05,3.01,Run,
2021-07-06,3.1,Run,
2021-07-06,2.04,Walk,
2021-07-08,3.21,Run,
2021-07-09,2.84,Run,
2021-07-10,15.13,Run,"Ran with my daughter..1 mile, each hour, for 15 hours to celebrate her birthday ..."
2021-07-12,2.34,Run,
2021-07-13,2.04,Run,
2021-07-14,3.03,Run,
2021-07-15,3.4,Run,
2021-07-15,3.02,Run,
2021-07-16,1.01,Run,
2021-07-22,2.05,Walk,
2021-07-22,2,Treadmill,
2021-07-24,3.11,Run,
2021-07-25,3.79,Run,
2021-07-28,2.7,Run,
2021-07-25,2.06,Walk,
2021-07-27,1.86,Walk,
2021-07-29,3.18,Run,
2021-07-30,3.2,Run,
