"Activity Date","Distance in Miles","Activity Type",Comment
2021-03-20,10.24,Treadmill,
2021-03-20,2.07,Walk,
2021-03-21,7.2,Treadmill,
2021-03-21,4.5,Treadmill,
2021-03-22,4.1,Treadmill,
2021-03-23,2.12,Treadmill,
2021-03-23,2.5,Treadmill,
2021-03-24,1,Treadmill,
2021-03-24,1,Walk,
2021-03-25,3.3,Treadmill,
2021-03-26,2.5,Treadmill,
2021-03-28,2.81,Run,
2021-03-29,3.7,Run,
2021-03-30,2.01,Treadmill,
2021-03-30,3,Treadmill,
2021-03-30,2.04,Walk,
2021-04-04,3.45,Run,
2021-04-05,3.57,Run,
2021-04-06,1.67,Run,
2021-04-06,3.07,Walk,
2021-04-08,3.9,Walk,
2021-04-10,3.24,Run,
2021-04-10,2.03,Walk,
2021-04-12,5.81,Run,
