"Activity Date","Distance in Miles","Activity Type",Comment
2020-10-31,3.3,Run,
2020-10-31,1,Walk,
2020-10-31,1.1,Walk,
2020-11-01,3.13,Treadmill,
2020-11-03,6.2,Run,
2020-11-02,4.51,Run,
2020-11-03,1.28,Walk,
2020-11-04,6.43,Run,
2020-11-05,3.54,Run,
2020-11-05,4,Walk,
2020-11-06,1.25,Run,
2020-11-06,5.52,Run,
2020-11-07,3.48,Run,
2020-11-08,12.11,Run,
2020-11-09,3.75,Run,
2020-11-10,4.74,Run,
2020-11-10,2.05,Run,
2020-11-11,3.55,Walk,
2020-11-12,4.3,Run,
2020-11-13,4.04,Run,
2020-11-14,18.23,Run,
2020-11-15,3.02,Run,
2020-11-15,1.13,Walk,
2020-11-16,5.7,Run,
2020-11-16,1.23,Walk,
2020-11-17,3.94,Walk,
2020-11-18,5.66,Run,
2020-11-18,1.97,Walk,
2020-11-19,3.12,Walk,
2020-11-19,1,Walk,
2020-11-20,8.21,Run,
2020-11-20,3.05,Walk,
2020-11-21,2.06,Walk,"Walking between softball games"
2020-11-22,2.94,Run,
2020-11-22,1.35,Walk,
2020-11-23,2.45,Walk,
2020-11-24,2.6,Run,
2020-11-24,2.1,Walk,
2020-11-25,4.52,Walk,
2020-11-26,4.32,Run,
2020-11-27,9.2,Run,
2020-11-27,2.1,Walk,
2020-11-28,3.7,Walk,
2020-11-28,1.53,Walk,
2020-11-29,4.72,Run,
2020-11-30,2.1,Walk,"Fear not...this slacker will log more today...expecting 10+"
2020-11-30,6.76,Run,
2020-11-30,7.13,Walk,
