"Activity Date","Distance in Miles","Activity Type",Comment
2021-01-27,5.08,Run,
2021-01-27,1.5,Walk,
2021-01-28,5.67,Walk,
2021-01-29,9.2,Run,
2021-01-29,3.49,Run,
2021-01-29,3.72,Run,
2021-01-30,4.75,Run,
2021-01-30,7.02,Walk,
2021-01-31,8.56,Run,
2021-02-04,3.64,Run,
2021-02-05,5.41,Walk,
2021-02-03,3.41,Run,
2021-02-05,2.4,Walk,
2021-02-05,2.74,Walk,
2021-02-06,4.7,Run,
2021-02-07,3.03,Walk,
2021-02-08,3.91,Run,
2021-02-09,3.26,Run,
2021-02-09,3.58,Walk,
2021-02-10,4.43,Run,
2021-02-11,2.27,Run,
2021-02-11,6,Walk,
2021-02-12,3.79,Walk,
2021-02-16,3.36,Walk,
2021-02-16,5.69,Run,
2021-02-16,2.25,Walk,
2021-02-20,3.75,Run,
2021-02-21,2.49,Run,
