"Activity Date","Distance in Miles","Activity Type",Comment
2020-12-31,2.53,Walk,
2021-01-01,11.64,Walk,
2021-01-02,3.31,Run,
2021-01-02,4,Run,
2021-01-03,4.4,Walk,
2021-01-03,1.3,Walk,
2021-01-04,4.59,Walk,"Wax leg day today in the gym so legs were torched... walked instead of running the time I had got get it in so a bit less than I wanted today..."
2021-01-05,1.38,Walk,
2021-01-06,6.72,Run,
2021-01-07,5.81,Run,
2021-01-07,3.08,Walk,
2021-01-09,1.5,Run,
2021-01-09,4.33,Walk,
2021-01-09,1.65,Walk,
2021-01-10,2.41,Run,
2021-01-10,3.05,Walk,
2021-01-11,4.84,Run,
2021-01-11,2.74,Walk,
2021-01-12,1.82,Walk,
2021-01-13,2.5,Walk,
2021-01-15,20.31,Run,
2021-01-16,3.81,Run,
2021-01-16,6.2,Walk,
2021-01-17,6.04,Run,
2021-01-18,1.37,Run,
2021-01-19,4.89,Run,
2021-01-20,4.2,Run,
2021-01-21,2.26,Run,
2021-01-21,3.01,Walk,
2021-01-22,3.06,Run,
2021-01-23,7.21,Run,
2021-01-23,2.99,Walk,
2021-01-24,5.31,Run,
2021-01-25,1.64,Run,
2021-01-26,5.8,Run,
